id,title,type,date,cve_id,cvss_score,base_severity,type_cwe,epss_score,link,description,vendor,product,versions,epss_high_risk
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30012,3.9,LOW,CWE-502,0.00048,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM stack to accept binary Java objects in specific encoding format. On successful exploitation, an authenticated attacker with high privileges could send malicious payload request and receive an outbound DNS request, resulting in deserialization of data in the application. This vulnerability has low impact on confidentiality, integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14,0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43000,7.9,HIGH,CWE-862,0.00016,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,Under certain conditions Promotion Management Wizard (PMW) allows an attacker to access information which would otherwise be restricted.This has High impact on Confidentiality with Low impact on Integrity and Availability of the application.,SAP_SE,SAP Business Objects Business Intelligence Platform (PMW),"ENTERPRISE 430, 2025, 2027",0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43004,5.3,MEDIUM,CWE-862,0.001,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Due to a security misconfiguration vulnerability, customers can develop Production Operator Dashboards (PODs) that enable outside users to access customer data when they access these dashboards. Since no mechanisms exist to enforce authentication, malicious unauthenticated users can view non-sensitive customer information. However, this does not affect data integrity or availability.",SAP_SE,SAP Digital Manufacturing (Production Operator Dashboard),CTNR-DME-PODFOUNDATION-MS 1.0,0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-31324,10.0,CRITICAL,CWE-434,0.74446,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP NetWeaver Visual Composer Metadata Uploader is not protected with a proper authorization, allowing unauthenticated agent to upload potentially malicious executable binaries that could severely harm the host system. This could significantly affect the confidentiality, integrity, and availability of the targeted system.",SAP_SE,SAP NetWeaver (Visual Composer development server),VCFRAMEWORK 7.50,1
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43005,4.3,MEDIUM,CWE-256,0.00019,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP GUI for Windows allows an unauthenticated attacker to exploit insecure obfuscation algorithms used by the GuiXT application to store user credentials. While this issue does not impact the Integrity or Availability of the application, it may have a Low impact on the Confidentiality of data.",SAP_SE,SAP GUI for Windows,BC-FES-GUI 8.00,0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43008,5.8,MEDIUM,CWE-862,0.00037,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Due to missing authorization check, an unauthorized user can view the files of other company. This might lead to disclosure of personal data of employees. There is no impact on integrity and availability.",SAP_SE,SAP S/4HANA HCM Portugal and SAP ERP HCM Portugal,"S4HCMCPT 100, 101, SAP_HRCPT 600, 604, 608",0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-31329,6.2,MEDIUM,CWE-141,0.00039,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP NetWeaver is vulnerable to an Information Disclosure vulnerability caused by the injection of malicious instructions into user configuration settings. An attacker with administrative privileges can craft these instructions so that when accessed by the victim, sensitive information such as user credentials is exposed. These credentials may then be used to gain unauthorized access to local or adjacent systems. This results in high impact to Confidentiality, with no significant effect on Integrity or Availability.",SAP_SE,SAP NetWeaver Application Server ABAP and ABAP Platform,"SAP_BASIS 700, SAP_BASIS 701, SAP_BASIS 702, SAP_BASIS 731, SAP_BASIS 740, SAP_BASIS 750, SAP_BASIS 751, SAP_BASIS 752, SAP_BASIS 753, SAP_BASIS 754, SAP_BASIS 755, SAP_BASIS 756, SAP_BASIS 757, SAP_BASIS 758",0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30009,6.1,MEDIUM,CWE-79,0.00116,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"he Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to execute malicious script in the victim�s browser. This vulnerability has low impact on confidentiality and integrity within the scope of that victim�s browser, with no effect on availability of the application",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14,0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30011,5.3,MEDIUM,CWE-497,0.00055,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to send an malicious request to the application, which could disclose the internal version details of the affected system. This vulnerability has low impact on confidentiality, with no effect on integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14,0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43002,4.3,MEDIUM,CWE-472,0.00035,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,SAP S4CORE OData meta-data property allows an authenticated attacker to access restricted information due to missing authorization check. This could cause a low impact on confidentiality but integrity and availability of the application are not impacted.,SAP_SE,SAP S4/HANA (OData meta-data property),"S4CORE 102, 103, 104, 105, 106",0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-26662,4.4,MEDIUM,CWE-79,0.00034,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Data Services Management Console does not sufficiently encode user-controlled inputs, allowing an attacker to inject malicious script. When a targeted victim, who is already logged in, clicks on the compromised link, the injected script gets executed within the scope of victim�s browser. This potentially leads to an impact on confidentiality and integrity. Availability is not impacted.",SAP_SE,SAP Data Services Management Console,SBOP DS JOB SERVER 4.3,0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30010,6.1,MEDIUM,CWE-601,0.00081,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) uses a deprecated java applet component within the affected SRM packages which allows an unauthenticated attacker to craft a malicious link, which when clicked by a victim, redirects the browser to a malicious site. On successful exploitation, the attacker could cause low impact on confidentiality and integrity with no impact on the availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14,0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-42997,6.6,MEDIUM,CWE-732,0.00045,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Under certain conditions, SAP Gateway Client allows a high-privileged user to access restricted information beyond the scope of the application. Due to the possibility of influencing application behavior or performance through misuse of the exposed data, this may potentially lead to low impact on confidentiality, integrity, and availability.",SAP_SE,SAP Gateway Client,"SAP_GWFND 752, 753, 754, 755, 756, 757, 758",0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-0061,8.7,HIGH,CWE-497,0.00049,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP BusinessObjects Business Intelligence Platform allows an unauthenticated attacker to perform session hijacking over the network without any user interaction, due to an information disclosure vulnerability. Attacker can access and modify all the data of the application.",SAP_SE,SAP BusinessObjects Business Intelligence Platform,"ENTERPRISE 420, 430, 2025",0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43010,8.3,HIGH,CWE-94,0.00054,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP S/4HANA Cloud Private Edition or on Premise (SCM Master Data Layer (MDL)) allows an authenticated attacker with SAP standard authorization to execute a certain function module remotely and replace arbitrary ABAP programs, including SAP standard programs. This is due to lack of input validation and no authorization checks. This has low Confidentiality impact but high impact on integrity and availability to the application.",SAP_SE,SAP S/4HANA Cloud Private Edition or on Premise (SCM Master Data Layer (MDL)),"S4CORE 102, 103, 104, 105, 106, 107, 108, SCM_BASIS 700, 701, 702, 712, 713, 714",0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2024-39592,7.7,HIGH,CWE-862,0.00136,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Elements of PDCE does not perform necessary
authorization checks for an authenticated user, resulting in escalation of
privileges.



This
allows an attacker to read sensitive information causing high impact on the
confidentiality of the application.",SAP_SE,SAP PDCE,"S4CORE 102, S4CORE 103, S4COREOP 104, S4COREOP 105, S4COREOP 106, S4COREOP 107, S4COREOP 108",0
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-30018,8.6,HIGH,CWE-611,0.00085,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"The Live Auction Cockpit in SAP Supplier Relationship Management (SRM) allows an unauthenticated attacker to submit an application servlet request with a crafted XML file which when parsed, enables the attacker to access sensitive files and data. This vulnerability has a high impact on the application's confidentiality, with no effect on integrity and availability of the application.",SAP_SE,SAP Supplier Relationship Management (Live Auction Cockpit),SRM_SERVER 7.14,0
CERTFR-2025-AVI-0468,Vulnérabilité dans Roundcube (02 juin 2025),Avis,"Mon, 02 Jun 2025 00:00:00 +0000",CVE-2025-49113,9.9,CRITICAL,CWE-502,0.7308,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0468/,"Roundcube Webmail before 1.5.10 and 1.6.x before 1.6.11 allows remote code execution by authenticated users because the _from parameter in a URL is not validated in program/actions/settings/upload.php, leading to PHP Object Deserialization.",Roundcube,Webmail,"0, 1.6.0",1
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2025-32996,4.0,MEDIUM,CWE-670,0.00056,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"In http-proxy-middleware before 2.0.8 and 3.x before 3.0.4, writeBody can be called twice because ""else if"" is not used.",chimurai,http-proxy-middleware,"0, 3.0.0",0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2019-11038,3.1,LOW,CWE-457,0.09212,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"When using the gdImageCreateFromXbm() function in the GD Graphics Library (aka LibGD) 2.2.5, as used in the PHP GD extension in PHP versions 7.1.x below 7.1.30, 7.2.x below 7.2.19 and 7.3.x below 7.3.6, it is possible to supply data that will cause the function to use the value of uninitialized variable. This may lead to disclosing contents of the stack that has been left there by previous code.",PHP Group,PHP,"7.1.x < 7.1.30, 7.2.x < 7.2.19, 7.3.x < 7.3.6",0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2025-1334,4.0,MEDIUM,CWE-525,0.00014,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,IBM QRadar Suite Software 1.10.12.0 through 1.11.2.0 and IBM Cloud Pak for Security 1.10.0.0 through 1.10.11.0 allows web pages to be stored locally which can be read by another user on the system.,IBM,Cloud Pak for Security,1.10.0.0,0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2020-15250,4.4,MEDIUM,CWE-200,0.00043,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"In JUnit4 from version 4.7 and before 4.13.1, the test rule TemporaryFolder contains a local information disclosure vulnerability. On Unix like systems, the system's temporary directory is shared between all users on that system. Because of this, when files and directories are written into this directory they are, by default, readable by other users on that same system. This vulnerability does not allow other users to overwrite the contents of these directories or files. This is purely an information disclosure vulnerability. This vulnerability impacts you if the JUnit tests write sensitive information, like API keys or passwords, into the temporary folder, and the JUnit tests execute in an environment where the OS has other untrusted users. Because certain JDK file system APIs were only added in JDK 1.7, this this fix is dependent upon the version of the JDK you are using. For Java 1.7 and higher users: this vulnerability is fixed in 4.13.1. For Java 1.6 and lower users: no patch is available, you must use the workaround below. If you are unable to patch, or are stuck running on Java 1.6, specifying the `java.io.tmpdir` system environment variable to a directory that is exclusively owned by the executing user will fix this vulnerability. For more information, including an example of vulnerable code, see the referenced GitHub Security Advisory.",junit-team,junit4,< 4.13.1,0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2023-37920,7.5,HIGH,CWE-345,0.00115,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"Certifi is a curated collection of Root Certificates for validating the trustworthiness of SSL certificates while verifying the identity of TLS hosts. Certifi prior to version 2023.07.22 recognizes ""e-Tugra"" root certificates. e-Tugra's root certificates were subject to an investigation prompted by reporting of security issues in their systems. Certifi 2023.07.22 removes root certificates from ""e-Tugra"" from the root store.",certifi,python-certifi,">= 2015.04.28, < 2023.07.22",0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2024-0793,7.7,HIGH,CWE-20,0.00142,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,A flaw was found in kube-controller-manager. This issue occurs when the initial application of a HPA config YAML lacking a .spec.behavior.scaleUp block causes a denial of service due to KCM pods going into restart churn.,,,,0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2024-56171,7.8,HIGH,CWE-416,7e-05,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"libxml2 before 2.12.10 and 2.13.x before 2.13.6 has a use-after-free in xmlSchemaIDCFillNodeTables and xmlSchemaBubbleIDCNodeTables in xmlschemas.c. To exploit this, a crafted XML document must be validated against an XML schema with certain identity constraints, or a crafted XML schema must be used.",xmlsoft,libxml2,"0, 2.13.0",0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2024-38819,7.5,HIGH,CWE-22,0.64445,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,Applications serving static resources through the functional web frameworks WebMvc.fn or WebFlux.fn are vulnerable to path traversal attacks. An attacker can craft malicious HTTP requests and obtain any file on the file system that is also accessible to the process in which the Spring application is running.,,Spring Framework,"Spring Framework 5.3.0 - 5.3.40, 6.0.0 - 6.0.24, 6.1.0 - 6.1.13",0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2022-49043,8.1,HIGH,CWE-416,0.0003,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,xmlXIncludeAddNode in xinclude.c in libxml2 before 2.11.0 has a use-after-free.,xmlsoft,libxml2,2.0.0,0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2024-11831,5.4,MEDIUM,CWE-79,0.00057,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"A flaw was found in npm-serialize-javascript. The vulnerability occurs because the serialize-javascript module does not properly sanitize certain inputs, such as regex or other JavaScript object types, allowing an attacker to inject malicious code. This code could be executed when deserialized by a web browser, causing Cross-site scripting (XSS) attacks. This issue is critical in environments where serialized data is sent to web clients, potentially compromising the security of the website or web application using this package.",,,,0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2025-30691,4.8,MEDIUM,Non disponible,0.00047,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"Vulnerability in Oracle Java SE (component: Compiler).  Supported versions that are affected are Oracle Java SE: 21.0.6, 24; Oracle GraalVM for JDK: 21.0.6 and  24. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE.  Successful attacks of this vulnerability can result in  unauthorized update, insert or delete access to some of Oracle Java SE accessible data as well as  unauthorized read access to a subset of Oracle Java SE accessible data. Note: This vulnerability can be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. This vulnerability also applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. CVSS 3.1 Base Score 4.8 (Confidentiality and Integrity impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N).",Oracle Corporation,Oracle Java SE,"21.0.6, 24",0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2024-38809,5.3,MEDIUM,Non disponible,0.00172,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"Applications that parse ETags from ""If-Match"" or ""If-None-Match"" request headers are vulnerable to DoS attack.

Users of affected versions should upgrade to the corresponding fixed version.

Users of older, unsupported versions could enforce a size limit on ""If-Match"" and ""If-None-Match"" headers, e.g. through a Filter.",,Spring Framework,"6.1.0 - 6.1.11, 6.0.0 - 6.0.22, 5.3.0 - 5.3.37",0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2023-52355,7.5,HIGH,CWE-787,0.00123,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,An out-of-memory flaw was found in libtiff that could be triggered by passing a crafted tiff file to the TIFFRasterScanlineSize64() API. This flaw allows a remote attacker to cause a denial of service via a crafted input with a size smaller than 379 KB.,,,,0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2025-32997,4.0,MEDIUM,CWE-754,0.00041,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"In http-proxy-middleware before 2.0.9 and 3.x before 3.0.5, fixRequestBody proceeds even if bodyParser has failed.",chimurai,http-proxy-middleware,"0, 3.0.0",0
CERTFR-2025-AVI-0481,Multiples vulnérabilités dans les produits IBM (06 juin 2025),Avis,"Fri, 06 Jun 2025 00:00:00 +0000",CVE-2024-9902,6.3,MEDIUM,CWE-863,0.00037,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0481/,"A flaw was found in Ansible. The ansible-core `user` module can allow an unprivileged user to silently create or replace the contents of any file on any system path and take ownership of it when a privileged user executes the `user` module against the unprivileged user's home directory. If the unprivileged user has traversal permissions on the directory containing the exploited target file, they retain full control over the contents of the file as its owner.",,,,0
